CATEGORIE,SOUS CATEGORIE,NOM,EAN,URL,Batch
MOBILIER,CHAISE,Chaise tissu bouclettes GABIE écru,4894223236973,https://www.but.fr/produits/4894223236973/fiche.html,2
MOBILIER,CHAISE,Chaise NORVEGE Bleu canard,3248116226694,https://www.but.fr/produits/3248116226694/fiche.html,2
MOBILIER,CHAISE,Chaise pliante FLEXY + Beige,3560232778988,https://www.but.fr/produits/3560232778988/fiche.html,2
MOBILIER,CHAISE,Chaise LYNETTE Transparente,4894223197175,https://www.but.fr/produits/4894223197175/fiche.html,2
MOBILIER,CHAISE,Chaise tissu BAXTER gris,3102000111841,https://www.but.fr/produits/3102000111841/fiche.html,2
MOBILIER,CHAISE,chaise SAVINA polyuréthane taupe,4894223225380,https://www.but.fr/produits/4894223225380/fiche.html,2
MOBILIER,CHAISE,Chaise MEREDITE Gris clair,4894223246675,https://www.but.fr/produits/4894223246675/fiche.html,2
MOBILIER,CHAISE,Chaise velours côtelé LYNETTE terracota,4894223241298,https://www.but.fr/produits/4894223241298/fiche.html,2
MOBILIER,CHAISE,Chaise en velours CLOHE figue,4894223221474,https://www.but.fr/produits/4894223221474/fiche.html,2
MOBILIER,CHAISE,Chaise MILY corail,4894223236249,https://www.but.fr/produits/4894223236249/fiche.html,2
MOBILIER,CHAISE,Chaise BELLA Terracotta,4894223243094,https://www.but.fr/produits/4894223243094/fiche.html,2
MOBILIER,CHAISE,Chaise FANNY Gris,4894223245760,https://www.but.fr/produits/4894223245760/fiche.html,2
MOBILIER,CHAISE,Chaise velours ORA or,3248111520155,https://www.but.fr/produits/3248111520155/fiche.html,2
MOBILIER,CHAISE,Chaise tissu NORVEGE Ecru,3248116243141,https://www.but.fr/produits/3248116243141/fiche.html,2
MOBILIER,CHAISE,Chaise velours cotelé LYNETTE bleu,4894223241281,https://www.but.fr/produits/4894223241281/fiche.html,2
MOBILIER,CHAISE,Lot de 4 Chaises ANNIE Gris,3760176249265,https://www.but.fr/produits/3760176249265/fiche.html,2
MOBILIER,CHAISE,Chaise MILA Terracotta,4894223236287,https://www.but.fr/produits/4894223236287/fiche.html,2
MOBILIER,CHAISE,Chaise DORIANE Kaki,4894223245685,https://www.but.fr/produits/4894223245685/fiche.html,2
MOBILIER,CHAISE,Chaise BATILDA Crème,5713941256232,https://www.but.fr/produits/5713941256232/fiche.html,2
MOBILIER,CHAISE,Chaise FANNY Terracotta,4894223245753,https://www.but.fr/produits/4894223245753/fiche.html,2
MOBILIER,CHAISE,Chaise CORALINE Gris,4894223245838,https://www.but.fr/produits/4894223245838/fiche.html,2
MOBILIER,CHAISE,Chaise PAYSANNE Blanche,3248112450031,https://www.but.fr/produits/3248112450031/fiche.html,2
MOBILIER,CHAISE,Chaise TALIA gris clair,4894223214001,https://www.but.fr/produits/4894223214001/fiche.html,2
