ean_13,DENOMINATION,Link
4251182707690,Mange debout L.120 MALTA décor chêne et béton foncé,https://www.but.fr/produits/4251182707690/fiche.html
4251182711819,Table L.120/160 rectangulaire  TOLEDO 2 décor chêne sonoma/blanc,https://www.but.fr/produits/4251182711819/fiche.html
4251182711826,Table L.120/160 rectangulaire TOLEDO 2 décor chêne sonoma/gris,https://www.but.fr/produits/4251182711826/fiche.html
4251182711840,Table L.160/200 rectangulaire TOLEDO 2 décor chêne sonoma/blanc,https://www.but.fr/produits/4251182711840/fiche.html
4251182711857,Table L.160/200 rectangulaire TOLEDO 2 décor chêne sonoma/gris,https://www.but.fr/produits/4251182711857/fiche.html
4251182711864,Table L.160/200 rectangulaire TOLEDO 2 imitation béton/ blanc,https://www.but.fr/produits/4251182711864/fiche.html
4251182712786,Table à manger extensible L.160-200 cm AUSTIN imitation ardoise,https://www.but.fr/produits/4251182712786/fiche.html
4251182713103,Table extensible L.140 à 180 cm LEXIE blanc et imitation béton,https://www.but.fr/produits/4251182713103/fiche.html
4251182713110,Table extensible L.140 à 180 cm LEXIE imitation chêne et noir,https://www.but.fr/produits/4251182713110/fiche.html
4251182713127,Table L.140/180 cm LEXIE dark/ san remo,https://www.but.fr/produits/4251182713127/fiche.html
4251182714995,Table L.140 cm+ allonge MALTA imitation chêne et béton,https://www.but.fr/produits/4251182714995/fiche.html
4251182715008,Table L.120 cm MALTA imitation chêne et béton,https://www.but.fr/produits/4251182715008/fiche.html
4251182715756,Table L.120/160 rectangulaire TOLEDO blanc brillant,https://www.but.fr/produits/4251182715756/fiche.html
4251182715763,Table L.160/200 rectangulaire TOLEDO blanc brillant,https://www.but.fr/produits/4251182715763/fiche.html
4251182717644,Table extensible L. 80/120 cm DORA Blanc,https://www.but.fr/produits/4251182717644/fiche.html
4251182717651,Table extensible L. 80/120 cm DORA Imitation chêne/ blanc,https://www.but.fr/produits/4251182717651/fiche.html
4251182717668,Table extensible L. 80/120 cm DORA Imitation béton/blanc,https://www.but.fr/produits/4251182717668/fiche.html
4251182717675,Table extensible L. 80/120 cm DORA Imitation chêne /gris,https://www.but.fr/produits/4251182717675/fiche.html
4251182717682,Table extensible L. 120/160 cm DORA Blanc,https://www.but.fr/produits/4251182717682/fiche.html
4251182717699,Table extensible L. 120/160 cm DORA Imitation chêne et blanc,https://www.but.fr/produits/4251182717699/fiche.html
4251182717705,Table extensible L. 120/160 cm DORA Imitation béton et blanc,https://www.but.fr/produits/4251182717705/fiche.html
4251182717712,Table extensible L. 120/160 cm DORA Imitation chêne et gris,https://www.but.fr/produits/4251182717712/fiche.html
4251182717729,Table extensible L. 140/180 cm DORA Blanc,https://www.but.fr/produits/4251182717729/fiche.html
4251182717736,Table extensible L. 140/180 cm DORA Imitation chêne /blanc,https://www.but.fr/produits/4251182717736/fiche.html
4251182717743,Table extensible L. 140/180 cm DORA Imitation béton/blanc,https://www.but.fr/produits/4251182717743/fiche.html
4251182717750,Table ronde extensible 100/140 DORA Imitation chêne et blanc,https://www.but.fr/produits/4251182717750/fiche.html
4251182717767,Table ronde extensible 100/140 DORA Blanc,https://www.but.fr/produits/4251182717767/fiche.html
4251182717774,Table ronde extensible 100/140 DORA Imitation béton/blanc,https://www.but.fr/produits/4251182717774/fiche.html
4251182717781,Table ronde extensible 100/140 DORA Imitation chêne et gris,https://www.but.fr/produits/4251182717781/fiche.html
4251182717798,Table extensible L. 140/180 cm DORA Imitation chêne/ gris,https://www.but.fr/produits/4251182717798/fiche.html
4251182718030,Table L. 140/180 MALTA Imitation chêne,https://www.but.fr/produits/4251182718030/fiche.html
4251182718047,Table L 120 MALTA Imitation chêne,https://www.but.fr/produits/4251182718047/fiche.html
4251182718054,Mange debout MALTA Imitation chêne,https://www.but.fr/produits/4251182718054/fiche.html
4251182718474,Table L. 100 DORA Blanc,https://www.but.fr/produits/4251182718474/fiche.html
4251182719020,Table L. 120/160 cm TOLEDO Imitation chêne,https://www.but.fr/produits/4251182719020/fiche.html
4251182719037,Table L. 160/200 cm TOLEDO Imitation chêne,https://www.but.fr/produits/4251182719037/fiche.html
4894223191159,Table extensible L.160/240 cm CAMDEN Chêne sonoma/noir,https://www.but.fr/produits/4894223191159/fiche.html
4894223191265,Table extensible L.80/140 cm LISA Blanc,https://www.but.fr/produits/4894223191265/fiche.html
4894223192033,Table extensible L120-160 cm MALENA scandinave bois et blanc,https://www.but.fr/produits/4894223192033/fiche.html
4894223201964,Table extensible L160-200 cm MALENA scandinave bois et blanc,https://www.but.fr/produits/4894223201964/fiche.html
4894223204736,Table extensible L.120/160 cm CAMDEN Chêne sonoma/noir,https://www.but.fr/produits/4894223204736/fiche.html
4894223204910,Table à manger L.180 cm ARYA imitation chêne gris et noir,https://www.but.fr/produits/4894223204910/fiche.html
4894223207669,Table ronde + 2 extensions L.100 à 180 cm MALENA scandinave Bois et blanc,https://www.but.fr/produits/4894223207669/fiche.html
4894223222839,Table  L.120/160 + allonge CAMDEN imitation béton/ noir,https://www.but.fr/produits/4894223222839/fiche.html
4894223222846,Table L.160/240 + allonges CAMDEN imitation béton/ noir,https://www.but.fr/produits/4894223222846/fiche.html
4894223229685,Table à manger extensible 160-200 x 90 cm COLUMBUS imitation chêne,https://www.but.fr/produits/4894223229685/fiche.html
4894223235778,Table carrée EMILIE blanc,https://www.but.fr/produits/4894223235778/fiche.html
4894223236393,Mange debout PAL pin massif,https://www.but.fr/produits/4894223236393/fiche.html
4894223236577,Mange debout extensible VILMA blanc/ imitation chêne,https://www.but.fr/produits/4894223236577/fiche.html
4894223236614,Table rectangle L.200 cm LATINO pin massif,https://www.but.fr/produits/4894223236614/fiche.html
4894223237154,Table MAEL imitation chêne et noir,https://www.but.fr/produits/4894223237154/fiche.html
4894223237345,Table de séjour L.160cm KAYN imitation chêne sonoma,https://www.but.fr/produits/4894223237345/fiche.html
4894223237352,Table de séjour L.140 x l.75/80cm VATIRA acacia et noir,https://www.but.fr/produits/4894223237352/fiche.html
