,product_page_url,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5,total_images_found
25,https://www.but.fr/produits/3609130016621/fiche.html,https://media.but.fr/images_produits/produit-zoom/3609130016621_Q.jpg,https://media.but.fr/images_produits/produit-zoom/3609130016621_D.jpg,https://media.but.fr/images_produits/produit-zoom/3609130016621_F.jpg,,,3
26,https://www.but.fr/produits/3609130016928/fiche.html,https://media.but.fr/images_produits/produit-zoom/3609130016928_Q.jpg,https://media.but.fr/images_produits/produit-zoom/3609130016928_P.jpg,https://media.but.fr/images_produits/produit-zoom/3609130016928_D.jpg,https://media.but.fr/images_produits/produit-zoom/3609130016928_A.jpg,,4
27,https://www.but.fr/produits/3609130017055/fiche.html,https://media.but.fr/images_produits/produit-zoom/3609130017055_Q.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017055_F.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017055_P.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017055_A.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017055_D.jpg,5
28,https://www.but.fr/produits/3609130017154/fiche.html,https://media.but.fr/images_produits/produit-zoom/3609130017154_Q.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017154_D.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017154_F.jpg,,,3
29,https://www.but.fr/produits/3609130017161/fiche.html,https://media.but.fr/images_produits/produit-zoom/3609130017161_Q.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017161_D.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017161_F.jpg,,,3
30,https://www.but.fr/produits/3609130017215/fiche.html,https://media.but.fr/images_produits/produit-zoom/3609130017215_Q.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017215_F.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017215_D.jpg,,,3
31,https://www.but.fr/produits/3609130017277/fiche.html,https://media.but.fr/images_produits/produit-zoom/3609130017277_Q.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017277_F.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017277_D.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017277_P.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017277_A.jpg,5
32,https://www.but.fr/produits/3609130017284/fiche.html,https://media.but.fr/images_produits/produit-zoom/3609130017284_Q.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017284_P.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017284_F.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017284_A.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017284_D.jpg,5
33,https://www.but.fr/produits/3609130017291/fiche.html,https://media.but.fr/images_produits/produit-zoom/3609130017291_Q.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017291_P.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017291_A.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017291_F.jpg,https://media.but.fr/images_produits/produit-zoom/3609130017291_D.jpg,5
34,https://www.but.fr/produits/3760176249098/fiche.html,https://media.but.fr/images_produits/produit-zoom/3760176249098_P.jpg,,,,,1
