,source_row_ref,normalized_url,normalization_comment
102,row_43,https://www.but.fr/produits/3760176249104/fiche.html,
103,row_44,https://www.but.fr/produits/3609130016522/fiche.html,
104,row_44,https://www.but.fr/produits/4038537074245/fiche.html,
105,row_45,https://www.but.fr/produits/3609130016614/fiche.html,
106,row_45,https://www.but.fr/produits/4251182707690/fiche.html,
107,row_45,https://www.but.fr/produits/4251182717743/fiche.html,
108,row_46,https://www.but.fr/produits/3609130016621/fiche.html,
109,row_46,https://www.but.fr/produits/4251182711819/fiche.html,
110,row_47,https://www.but.fr/produits/3609130016928/fiche.html,
111,row_47,https://www.but.fr/produits/4251182711826/fiche.html,
112,row_47,https://www.but.fr/produits/4251182717767/fiche.html,
113,row_48,https://www.but.fr/produits/3609130017055/fiche.html,
114,row_48,https://www.but.fr/produits/4251182711840/fiche.html,
115,row_49,https://www.but.fr/produits/3609130017154/fiche.html,
116,row_49,https://www.but.fr/produits/4251182711857/fiche.html,
117,row_50,https://www.but.fr/produits/3609130017161/fiche.html,
118,row_50,https://www.but.fr/produits/4251182711864/fiche.html,
119,row_50,https://www.but.fr/produits/4251182717798/fiche.html,
120,row_51,https://www.but.fr/produits/3609130017215/fiche.html,
121,row_51,https://www.but.fr/produits/4251182712786/fiche.html,
122,row_52,https://www.but.fr/produits/3609130017277/fiche.html,
123,row_52,https://www.but.fr/produits/4251182713103/fiche.html,
124,row_52,https://www.but.fr/produits/4251182718047/fiche.html,
125,row_53,https://www.but.fr/produits/3609130017284/fiche.html,
126,row_53,https://www.but.fr/produits/4251182713110/fiche.html,
127,row_54,https://www.but.fr/produits/3609130017291/fiche.html,
128,row_54,https://www.but.fr/produits/4251182713127/fiche.html,
129,row_55,https://www.but.fr/produits/3760176249098/fiche.html,
130,row_55,https://www.but.fr/produits/4251182714995/fiche.html,
131,row_55,https://www.but.fr/produits/4251182719020/fiche.html,
132,row_56,https://www.but.fr/produits/3760176249104/fiche.html,
133,row_56,https://www.but.fr/produits/4251182715008/fiche.html,
134,row_57,https://www.but.fr/produits/4038537074245/fiche.html,
135,row_57,https://www.but.fr/produits/4251182715756/fiche.html,
136,row_57,https://www.but.fr/produits/4894223191159/fiche.html,
137,row_58,https://www.but.fr/produits/4251182707690/fiche.html,
138,row_58,https://www.but.fr/produits/4251182715763/fiche.html,
139,row_59,https://www.but.fr/produits/4251182711819/fiche.html,
140,row_59,https://www.but.fr/produits/4251182717644/fiche.html,
141,row_60,https://www.but.fr/produits/4251182711826/fiche.html,
142,row_60,https://www.but.fr/produits/4251182717651/fiche.html,
143,row_60,https://www.but.fr/produits/4894223201964/fiche.html,
144,row_61,https://www.but.fr/produits/4251182711840/fiche.html,
145,row_61,https://www.but.fr/produits/4251182717668/fiche.html,
146,row_62,https://www.but.fr/produits/4251182711857/fiche.html,
147,row_62,https://www.but.fr/produits/4251182717675/fiche.html,
148,row_62,https://www.but.fr/produits/4894223204910/fiche.html,
149,row_63,https://www.but.fr/produits/4251182711864/fiche.html,
150,row_63,https://www.but.fr/produits/4251182717682/fiche.html,
151,row_64,https://www.but.fr/produits/4251182712786/fiche.html,
152,row_64,https://www.but.fr/produits/4251182717699/fiche.html,
153,row_65,https://www.but.fr/produits/4251182713103/fiche.html,
154,row_65,https://www.but.fr/produits/4251182717705/fiche.html,
155,row_65,https://www.but.fr/produits/4894223222846/fiche.html,
156,row_66,https://www.but.fr/produits/4251182713110/fiche.html,
157,row_66,https://www.but.fr/produits/4251182717712/fiche.html,
158,row_67,https://www.but.fr/produits/4251182713127/fiche.html,
159,row_67,https://www.but.fr/produits/4251182717729/fiche.html,
160,row_67,https://www.but.fr/produits/4894223235778/fiche.html,
161,row_68,https://www.but.fr/produits/4251182714995/fiche.html,
162,row_68,https://www.but.fr/produits/4251182717736/fiche.html,
163,row_69,https://www.but.fr/produits/4251182715008/fiche.html,
164,row_69,https://www.but.fr/produits/4251182717743/fiche.html,
165,row_70,https://www.but.fr/produits/4251182715756/fiche.html,
166,row_70,https://www.but.fr/produits/4251182717750/fiche.html,
167,row_70,https://www.but.fr/produits/4894223236614/fiche.html,
168,row_71,https://www.but.fr/produits/4251182715763/fiche.html,
169,row_71,https://www.but.fr/produits/4251182717767/fiche.html,
170,row_72,https://www.but.fr/produits/4251182717644/fiche.html,
171,row_72,https://www.but.fr/produits/4251182717774/fiche.html,
172,row_72,https://www.but.fr/produits/4894223237345/fiche.html,
173,row_73,https://www.but.fr/produits/4251182717651/fiche.html,
174,row_73,https://www.but.fr/produits/4251182717781/fiche.html,
175,row_74,https://www.but.fr/produits/4251182717668/fiche.html,
176,row_74,https://www.but.fr/produits/4251182717798/fiche.html,
177,row_75,https://www.but.fr/produits/4251182717675/fiche.html,
178,row_75,https://www.but.fr/produits/4251182718030/fiche.html,
179,row_75,https://www.but.fr/produits/4894223237376/fiche.html,
180,row_76,https://www.but.fr/produits/4251182717682/fiche.html,
181,row_76,https://www.but.fr/produits/4251182718047/fiche.html,
182,row_77,https://www.but.fr/produits/4251182717699/fiche.html,
183,row_77,https://www.but.fr/produits/4251182718054/fiche.html,
184,row_77,https://www.but.fr/produits/4894223237390/fiche.html,
185,row_78,https://www.but.fr/produits/4251182717705/fiche.html,
186,row_78,https://www.but.fr/produits/4251182718474/fiche.html,
187,row_79,https://www.but.fr/produits/4251182717712/fiche.html,
188,row_79,https://www.but.fr/produits/4251182719020/fiche.html,
189,row_80,https://www.but.fr/produits/4251182717729/fiche.html,
190,row_80,https://www.but.fr/produits/4251182719037/fiche.html,
191,row_80,https://www.but.fr/produits/4894223242455/fiche.html,
192,row_81,https://www.but.fr/produits/4251182717736/fiche.html,
193,row_81,https://www.but.fr/produits/4894223191159/fiche.html,
194,row_82,https://www.but.fr/produits/4251182717743/fiche.html,
195,row_82,https://www.but.fr/produits/4894223191265/fiche.html,
196,row_82,https://www.but.fr/produits/4894223242493/fiche.html,
197,row_83,https://www.but.fr/produits/4251182717750/fiche.html,
198,row_83,https://www.but.fr/produits/4894223192033/fiche.html,
199,row_84,https://www.but.fr/produits/4251182717767/fiche.html,
200,row_84,https://www.but.fr/produits/4894223201964/fiche.html,
201,row_85,https://www.but.fr/produits/4251182717774/fiche.html,
202,row_85,https://www.but.fr/produits/4894223204736/fiche.html,
203,row_85,https://www.but.fr/produits/4894223243117/fiche.html,
204,row_86,https://www.but.fr/produits/4251182717781/fiche.html,
205,row_86,https://www.but.fr/produits/4894223204910/fiche.html,
206,row_87,https://www.but.fr/produits/4251182717798/fiche.html,
207,row_87,https://www.but.fr/produits/4894223207669/fiche.html,
208,row_87,https://www.but.fr/produits/4894223243155/fiche.html,
209,row_88,https://www.but.fr/produits/4251182718030/fiche.html,
210,row_88,https://www.but.fr/produits/4894223222839/fiche.html,
211,row_89,https://www.but.fr/produits/4251182718047/fiche.html,
212,row_89,https://www.but.fr/produits/4894223222846/fiche.html,
213,row_90,https://www.but.fr/produits/4251182718054/fiche.html,
214,row_90,https://www.but.fr/produits/4894223229685/fiche.html,
215,row_90,https://www.but.fr/produits/4894223246606/fiche.html,
216,row_91,https://www.but.fr/produits/4251182718474/fiche.html,
217,row_91,https://www.but.fr/produits/4894223235778/fiche.html,
218,row_92,https://www.but.fr/produits/4251182719020/fiche.html,
219,row_92,https://www.but.fr/produits/4894223236393/fiche.html,
220,row_92,https://www.but.fr/produits/4894223247054/fiche.html,
221,row_93,https://www.but.fr/produits/4251182719037/fiche.html,
222,row_93,https://www.but.fr/produits/4894223236577/fiche.html,
223,row_94,https://www.but.fr/produits/4894223191159/fiche.html,
224,row_94,https://www.but.fr/produits/4894223236614/fiche.html,
225,row_95,https://www.but.fr/produits/4894223191265/fiche.html,
226,row_95,https://www.but.fr/produits/4894223237154/fiche.html,
227,row_95,https://www.but.fr/produits/4894223248914/fiche.html,
228,row_96,https://www.but.fr/produits/4894223192033/fiche.html,
229,row_96,https://www.but.fr/produits/4894223237345/fiche.html,
230,row_97,https://www.but.fr/produits/4894223201964/fiche.html,
231,row_97,https://www.but.fr/produits/4894223237352/fiche.html,
232,row_97,https://www.but.fr/produits/4894223249867/fiche.html,
233,row_98,https://www.but.fr/produits/4894223204736/fiche.html,
234,row_98,https://www.but.fr/produits/4894223237369/fiche.html,
235,row_99,https://www.but.fr/produits/4894223204910/fiche.html,
236,row_99,https://www.but.fr/produits/4894223237376/fiche.html,
237,row_100,https://www.but.fr/produits/4894223207669/fiche.html,
238,row_100,https://www.but.fr/produits/4894223237383/fiche.html,
239,row_100,https://www.but.fr/produits/5901730815825/fiche.html,
